time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.18040221414e-06,-7.65850524448e-08,10.00463534,6.28288329128,0.000783907237043,0.0,-9.13812581392e-05,-1.62968042839e-05,0.154502223827,-0.0177170651677,0.0311232480666,0.0,452.8281771341028,455.32442560796846,454.3597640783729,452.9374695251262
0.12000000000000001,-2.63029351775e-05,-8.3109596477e-06,10.0136881196,6.2829260664,0.00235782142855,0.0,-0.000896333988138,-0.000289954980136,0.147257926792,0.0234504143798,0.0140104094854,0.0,401.812388969569,400.25849227447287,400.0228501571525,403.75356911579405
0.18,-0.000131529196924,-2.55253671724e-05,10.0252246768,0.00131428593574,0.00346432680038,0.0,-0.00271026917689,-0.000133523343315,0.23727859022,0.0312657712004,0.0260882624151,0.0,432.67635774051496,433.6917714254312,433.99893430150775,434.654447370701
0.23999999999999996,-0.00038015040796,4.48968255513e-06,10.0446814428,0.00320324993018,0.00514628616526,0.0,-0.00576063235461,0.001346597754,0.411231987785,0.0319130853452,0.0316619831241,0.0,460.2094449890288,460.65050982610694,459.24305299269224,459.2947022515423
0.3,-0.000840704854407,0.000159688309268,10.0725592439,0.00530201439558,0.00725891671128,0.0,-0.00979843585479,0.00403387944604,0.517983093863,0.0404968001127,0.0414996247308,0.0,439.05412255122263,439.86997568225627,438.6568710666898,439.36952118886376
0.36000000000000004,-0.00161356427243,0.00053987670042,10.1099444074,0.00799322608879,0.00941260544399,0.0,-0.0162414281402,0.0089427365664,0.728074353664,0.0523865530508,0.0212816948097,0.0,471.7524011110918,470.18937245747173,470.28527362194194,471.2061932902455
0.4200000000000001,-0.00278660984429,0.00125332169677,10.1565565749,0.0114584624138,0.0104983771533,0.0,-0.0229804779523,0.0151757671303,0.825594374089,0.0667624731506,0.010812259693,0.0,436.10606726398703,435.2307727327881,437.1121627574704,438.31069689628515
0.48000000000000015,-0.00441467143828,0.0024499343372,10.2118862469,0.0151337667999,0.0113064366069,0.0,-0.0313715299925,0.0251578175104,1.01856901686,0.0469872582671,0.0183098839904,0.0,465.13944774091397,465.72604542726197,467.7576472182863,466.21771332873266
0.5400000000000001,-0.00655187966425,0.00430453894218,10.2773923894,0.0177050847294,0.0131354345351,0.0,-0.0400343500434,0.03695527148,1.16482414898,0.0329526050313,0.047652263492,0.0,450.9526207722922,453.316605925647,453.2993526342206,452.1712225448072
0.6000000000000002,-0.00925587908651,0.00692016086068,10.3516559371,0.0198164954838,0.0165699276414,0.0,-0.050444357359,0.0504518346186,1.31046202594,0.0393259049245,0.0716247098343,0.0,451.9624363589075,453.8922893766839,451.9491830610722,452.4630275649808
0.6600000000000003,-0.0126458634485,0.0103704031518,10.4335157781,0.0221867766219,0.0212280341367,0.0,-0.0630169689536,0.0647972471994,1.4180575022,0.0398597794218,0.0875390478358,0.0,439.781571454646,441.10240684030094,441.73536210671256,441.7801785252652
0.7200000000000003,-0.0168818952127,0.0147224567375,10.5214303769,0.0250277308328,0.0262729873447,0.0,-0.0787034594334,0.0805358101171,1.51228949039,0.0592052721885,0.076080400377,0.0,436.7867497279559,435.8360575627203,437.2537358158509,438.863597091239
0.7800000000000004,-0.0221404773815,0.0200619728614,10.6142646487,0.0282961963693,0.0311187674326,0.0,-0.097040497466,0.0977798694025,1.58206862447,0.042764504913,0.088779096839,0.0,429.51672161217346,430.5976823359144,429.9400073009233,428.5469588899884
0.8400000000000004,-0.0286288354218,0.0265253651685,10.7122568667,0.0311021583862,0.0362910275661,0.0,-0.119771427357,0.117937296256,1.68416525084,0.0537593427665,0.0804853251959,0.0,440.29953061964363,439.61908466138453,440.0943834245699,441.00472532915626
0.9000000000000005,-0.0365343152912,0.0342138033529,10.814963113,0.0340296391373,0.0406534397388,0.0,-0.14418815422,0.13863610798,1.73926424154,0.0363268453432,0.0487892034115,0.0,426.76194832304043,424.052113590487,426.38405265056707,424.8937979809919
0.9600000000000005,-0.0461768826738,0.0433603046364,10.9256818306,0.0369460938371,0.043863142036,0.0,-0.177582736674,0.166545028505,1.95099172304,0.0658830807626,0.0615471370857,0.0,474.15799300336965,475.1386834508262,472.7286550749816,475.00169683069294
1.0200000000000005,-0.0577200185735,0.0541029124514,11.0449876923,0.0408708551051,0.0473666642619,0.0,-0.207537826447,0.191922629683,2.0257043587,0.0644553848525,0.0511910480536,0.0,433.72704036824393,432.8589011813098,432.6829785539694,432.5660627717733
1.0800000000000005,-0.0709907450781,0.0663266828094,11.165908081,0.0447836574638,0.0501182431575,0.0,-0.235069982401,0.215863739956,2.00498068652,0.0666871065706,0.0321931550835,0.0,402.48325892899476,400.76166287916266,401.1391599477812,401.3453964015468
1.1400000000000006,-0.0860041863666,0.0800959964872,11.2865102314,0.0486044397973,0.0522143907204,0.0,-0.265557526845,0.243458429346,2.01504161822,0.0568639039251,0.0399221156103,0.0,411.38294090227,412.0673417781912,412.66284653084756,411.7981359323515
1.2000000000000006,-0.103076173374,0.0957647752438,11.4113053436,0.0522570407024,0.0548096717162,0.0,-0.303764020947,0.279196873297,2.14451877602,0.0678864810896,0.0492006044444,0.0,450.09170119947487,450.84296322906056,450.532439763688,451.42526908559637
1.2600000000000007,-0.122314081732,0.113481743855,11.5405283135,0.0564670769204,0.0579114284938,0.0,-0.337772050194,0.311736713406,2.16283412294,0.0743756203041,0.0562685779897,0.0,415.43293929067556,416.0541157372266,414.9878400724477,415.5611528129803
